日期,正常费,调整费,紧急费,总费用,紧急电量,未利用供给,日初电量,日末电量,预测方法
2025-09-13,18391.60985754199,0.0,8.810729933928451e-13,18391.60985754199,1.8562742285671043e-13,22145.7461405391,2187.017403777777,2025.6931552999984,weekly
2025-09-14,41318.122624857744,0.0,2.2281483325059526e-12,41318.122624857744,6.536993168992922e-13,2432.43265098765,2025.6931552999984,1297.1513866944454,weekly
2025-09-15,43106.17971134246,0.0,220.2152188860005,43326.39493022846,31.607777666666834,10208.215879184932,1297.1513866944454,1727.5579732222222,weekly
2025-09-16,42636.39741386217,0.0,52.68468066666907,42689.08209452884,7.837066666667397,5403.606107588259,1727.5579732222222,1297.796778272416,weekly
2025-09-17,42946.85553922978,0.0,1.9895864822457813e-12,42946.85553922978,6.188305906796492e-13,5038.996667076417,1297.796778272416,1502.6749960494874,weekly
2025-09-18,42819.968890239965,0.0,786.2278333545117,43606.196723594476,112.704677946461,5847.584303182172,1502.6749960494874,1513.8834035925922,weekly
2025-09-19,19115.493018547026,0.0,3.6384051327331687e-13,19115.493018547026,1.4210854715202004e-13,14263.57677489535,1513.8834035925922,2320.0104578518535,weekly
2025-09-20,17865.023945902743,0.0,2.426645551167894e-13,17865.023945902743,1.1368683772161603e-13,14116.015748943892,2320.0104578518535,1654.998415934912,weekly
2025-09-21,45071.51424244652,0.0,1.5042189716041322e-12,45071.51424244652,5.115907697472721e-13,9755.914562071512,1654.998415934912,2061.054953065396,weekly
2025-09-22,44320.1722199767,0.0,6.749452295890315e-13,44320.1722199767,1.7162471124170312e-13,6683.132610728315,2061.054953065396,1735.358282695024,weekly
2025-09-23,45229.04821778648,0.0,2.3594566300744192e-12,45229.04821778648,5.684341886080801e-13,5878.698988574541,1735.358282695024,2119.0402048524284,weekly
2025-09-24,45406.39243124232,0.0,1.3719159142056014e-13,45406.39243124232,5.684341886080802e-14,6924.435596151136,2119.0402048524284,2310.018467787617,weekly
2025-09-25,45212.033126376424,0.0,4.73733052785974e-13,45212.033126376424,1.1368683772161603e-13,7789.809402147734,2310.018467787617,1769.0808508431717,weekly
2025-09-26,19452.13133372464,0.0,2.4283508537337185e-13,19452.13133372464,1.1368683772161603e-13,13760.052445618927,1769.0808508431717,2200.51294491725,weekly
2025-09-27,19223.25953785001,0.0,5.254037205304485e-13,19223.25953785001,1.1368683772161603e-13,14062.767808838922,2200.51294491725,1574.5188201024307,weekly
2025-09-28,46322.07763992621,0.0,39.56136916666765,46361.639009092876,5.8683333333336805,6006.415539654815,1574.5188201024307,1903.8067699172439,weekly
2025-09-29,46911.106495169675,0.0,134.73625666666777,47045.842751836346,26.015016666666988,7844.049798517256,1903.8067699172439,1766.7304988061333,weekly
